Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Diogo Costa,GK,pt Portugal,24,1999,5,5,510,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Vladimír Coufal,"DF,FW",cz Czechia,31,1992,3,3,270,3,0,1,1,0,0,0,1,0,0,0,0.6,0.6,10,11,12,0,0.33,0.33,0,0.33,0,0.19,0.19,0,0.19,Matches
Bryan Cristante,MF,it Italy,28,1995,3,1,133,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,4,5,2,0,0,0,0,0,0.05,0.13,0.18,0.05,0.18,Matches
Kevin Csoboth,DF,hu Hungary,23,2000,2,0,9,0.1,1,0,1,1,0,0,2,0,0.6,0.6,0,0.6,1,2,1,10,0,10,10,10,6.22,0,6.22,6.22,6.22,Matches
Marc Cucurella,DF,es Spain,25,1998,6,6,545,6.1,0,1,1,0,0,0,0,0,0,0,1.1,1.2,16,29,33,0,0.17,0.17,0,0.17,0,0.2,0.2,0,0.2,Matches
Mirlind Daku,FW,al Albania,26,1998,1,0,6,0.1,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,1,1,2,0,0,0,0,0,1.71,1.99,3.7,1.71,3.7,Matches
Diogo Dalot,"DF,MF",pt Portugal,24,1999,2,2,152,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,11,13,0,0,0,0,0,0.03,0.02,0.06,0.03,0.06,Matches
Mikkel Damsgaard,FW,dk Denmark,23,2000,1,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
Kevin Danso,DF,at Austria,25,1998,3,2,212,2.4,0,0,0,0,0,0,1,0,0,0,0,0,4,22,1,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
Márton Dárdai,DF,hu Hungary,21,2002,3,2,175,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,5,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
Matteo Darmian,DF,it Italy,34,1989,3,2,161,1.8,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,0,0,0,0,0,0,0,0,0,0,Matches
Zuriko Davitashvili,"FW,MF",ge Georgia,22,2001,4,1,115,1.3,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,3,3,11,0,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches
Paweł Dawidowicz,DF,pl Poland,28,1995,2,2,180,2,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches
Kevin De Bruyne,MF,be Belgium,32,1991,4,4,360,4,1,0,1,1,0,0,0,0,0.9,0.9,1.6,2.5,7,28,21,0.25,0,0.25,0.25,0.25,0.21,0.4,0.61,0.21,0.61,Matches
Charles De Ketelaere,FW,be Belgium,22,2001,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Zeno Debast,DF,be Belgium,20,2003,2,1,104,1.2,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,3,0,0,0,0,0,0,0,0.09,0.09,0,0.09,Matches
Thomas Delaney,MF,dk Denmark,32,1991,3,1,84,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,2,4,4,0,0,0,0,0,0.12,0.25,0.37,0.12,0.37,Matches
Ousmane Dembélé,"FW,MF",fr France,26,1997,5,4,361,4,0,0,0,0,0,0,1,0,0.5,0.5,1.2,1.7,32,14,46,0,0,0,0,0,0.15,0.32,0.47,0.15,0.47,Matches
Merih Demiral,DF,tr Türkiye,25,1998,4,2,208,2.3,2,0,2,2,0,0,0,0,0.7,0.7,0,0.7,0,4,0,0.87,0,0.87,0.87,0.87,0.32,0.01,0.32,0.32,0.32,Matches
Giovanni Di Lorenzo,"DF,FW",it Italy,30,1993,4,4,360,4,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,4,23,9,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
Rúben Dias,DF,pt Portugal,26,1997,4,4,420,4.7,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,6,22,4,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,Matches
Federico Dimarco,"DF,FW",it Italy,26,1997,3,3,228,2.5,0,0,0,0,0,0,0,0,0,0,0.3,0.3,6,5,13,0,0,0,0,0,0.02,0.1,0.12,0.02,0.12,Matches
Berat Djimsiti,DF,al Albania,30,1993,3,3,270,3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,6,0,0,0,0,0,0,0.03,0,0.04,0.03,0.04,Matches
Jeremy Doku,"FW,MF",be Belgium,21,2002,4,4,320,3.6,0,0,0,0,0,0,0,0,0.2,0.2,0.6,0.8,30,10,31,0,0,0,0,0,0.06,0.17,0.23,0.06,0.23,Matches
Kasper Dolberg,FW,dk Denmark,26,1997,2,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Matches
Gianluigi Donnarumma,GK,it Italy,24,1999,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
David Doudera,FW,cz Czechia,25,1998,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,Matches
Artem Dovbyk,FW,ua Ukraine,26,1997,3,3,246,2.7,0,0,0,0,0,0,1,0,0.6,0.6,0.6,1.2,2,2,12,0,0,0,0,0,0.23,0.2,0.44,0.23,0.44,Matches
Denis Drăguș,FW,ro Romania,24,1999,4,4,291,3.2,1,0,1,1,0,0,0,0,1.1,1.1,0.1,1.1,2,3,13,0.31,0,0.31,0.31,0.31,0.33,0.02,0.35,0.33,0.35,Matches
Radu Drăgușin,DF,ro Romania,21,2002,4,4,360,4,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,3,1,0,0,0,0,0,0.06,0,0.06,0.06,0.06,Matches
Vanja Drkušič,DF,si Slovenia,24,1999,4,4,390,4.3,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,3,1,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
Kwadwo Duah,FW,ch Switzerland,26,1997,3,1,107,1.2,1,0,1,1,0,0,0,0,0.7,0.7,0,0.7,1,1,5,0.84,0,0.84,0.84,0.84,0.6,0,0.6,0.6,0.6,Matches
Martin Dúbravka,GK,sk Slovakia,35,1989,4,4,390,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ondrej Duda,MF,sk Slovakia,29,1994,4,4,317,3.5,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,2,9,9,0.28,0,0.28,0.28,0.28,0.08,0.04,0.12,0.08,0.12,Matches
Denzel Dumfries,DF,nl Netherlands,27,1996,5,5,449,5,0,0,0,0,0,0,2,0,0.3,0.3,0.7,0.9,7,19,42,0,0,0,0,0,0.05,0.14,0.19,0.05,0.19,Matches
Dávid Ďuriš,"FW,MF",sk Slovakia,24,1999,2,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
Lasha Dvali,DF,ge Georgia,28,1995,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,Matches
Timi Elšnik,MF,si Slovenia,25,1998,4,4,359,4,0,1,1,0,0,0,0,0,0.3,0.3,0.5,0.9,12,11,3,0,0.25,0.25,0,0.25,0.08,0.14,0.22,0.08,0.22,Matches
Breel Embolo,FW,ch Switzerland,26,1997,5,3,296,3.3,2,0,2,2,0,0,0,0,2.1,2.1,0.2,2.3,4,6,13,0.61,0,0.61,0.61,0.61,0.65,0.05,0.7,0.65,0.7,Matches
Christian Eriksen,"MF,FW",dk Denmark,31,1992,4,4,348,3.9,1,0,1,1,0,0,0,0,1.3,1.3,0.8,2.1,5,17,14,0.26,0,0.26,0.26,0.26,0.33,0.21,0.55,0.33,0.55,Matches
Eberechi Eze,"DF,MF",eng England,25,1998,3,0,102,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,6,1,7,0,0,0,0,0,0.16,0,0.16,0.16,0.16,Matches
Wout Faes,DF,be Belgium,25,1998,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,Matches
Nicolò Fagioli,MF,it Italy,22,2001,2,1,95,1.1,0,0,0,0,0,0,1,0,0,0,0,0,3,6,0,0,0,0,0,0,0.02,0.02,0.03,0.02,0.03,Matches
João Félix,"MF,FW",pt Portugal,24,1999,2,1,105,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,2,6,15,0,0,0,0,0,0.14,0.35,0.49,0.14,0.49,Matches
